,term,causal,coef,antonyms,antonym_source
326,create,0,0.287,"{'start': -0.201, 'slow': -0.744, 'standard': -0.167, 'fall': -0.154, 'lack': -0.445, 'wet': -0.313, 'lose': -0.328, 'mild': -0.299, 'curse': -0.19, 'stay': -0.999, 'ignore': -0.158, 'union': -0.225, 'head': -0.287, 'lost': -0.323, 'mother': -0.154, 'pass': -0.499, 'bore': -0.785, 'hire': -0.155, 'calm': -0.168, 'optimistic': -0.321, 'set': -0.323, 'rough': -0.359, 'father': -0.167, 'walk': -0.203, 'attract': -0.292, 'empty': -0.278, 'take': -0.165, 'fail': -0.441}",synonym_antonym
327,opened,0,0.287,{'narrow': -0.286},antonym
328,served,0,0.287,{'disarrange': 0.0},oov_antonym
329,friendly,0,0.286,"{'cold': -0.46, 'dislike': -0.877, 'uncomfortable': -0.795, 'loose': -0.374, 'poor': -1.874}",synonym_antonym
330,show,0,0.286,{'ugly': -0.681},antonym
331,kinds,0,0.285,"{'dislike': -0.877, 'hard': -0.5, 'young': -0.295}",synonym_antonym
332,trust,0,0.285,"{'worry': -0.183, 'add': -0.34, 'forward': -0.403, 'dislike': -0.877, 'lose': -0.328, 'fat': -0.228, 'fail': -0.441}",synonym_antonym
333,absorbing,1,0.284,"{'uninteresting': -0.361, 'unattractive': -0.345}",antonym
334,admittedly,0,0.284,{'false': -1.067},antonym
335,clothes,0,0.284,{'lack': -0.445},antonym
336,eat,0,0.284,"{'lose': -0.328, 'give': -0.164, 'start': -0.201, 'side': -0.243, 'low': -0.399, 'stay': -0.999, 'studio': -0.411, 'hold': -0.359, 'woman': -0.286, 'bear': -0.19, 'take': -0.165, 'empty': -0.278}",synonym_antonym
337,feature,0,0.284,"{'internal': -0.169, 'inner': -0.793, 'lack': -0.445, 'stay': -0.999, 'ability': -0.814}",synonym_antonym
338,women,0,0.284,{'husband': -0.238},antonym
339,doubt,0,0.283,{'predictability': -0.313},antonym
340,aware,0,0.282,{'asleep': -0.343},antonym
341,echo,0,0.281,"{'proud': -0.205, 'worth': -0.327, 'stay': -0.999, 'woman': -0.286, 'wise': -0.886, 'humorless': -0.308}",synonym_antonym
342,attack,0,0.28,"{'miss': -0.35, 'fail': -0.441}",antonym
343,sets,0,0.279,"{'stand': -0.321, 'hire': -0.155, 'lie': -0.273, 'give': -0.164, 'ride': -0.272, 'left': -0.435, 'union': -0.225, 'standard': -0.167, 'sit': -0.259, 'free': -0.331, 'defense': -0.334, 'unintelligent': -0.471, 'bore': -0.785, 'fall': -0.154, 'defeat': -0.193, 'slow': -0.744, 'continue': -0.156, 'existence': -0.212, 'empty': -0.278, 'heavy': -0.991}",synonym_antonym
344,theme,0,0.279,{'con': -0.232},antonym
345,advice,0,0.278,"{'ineffective': -1.062, 'empty': -0.278, 'plain': -0.302}",synonym_antonym
346,seat,0,0.277,"{'stand': -0.321, 'lie': -0.273, 'existence': -0.212}",synonym_antonym
347,funnier,0,0.276,{'humorless': -0.308},antonym
348,require,0,0.276,"{'stay': -0.999, 'lack': -0.445, 'empty': -0.278}",synonym_antonym
349,surviving,0,0.276,"{'dull': -1.881, 'nonexistent': -0.598, 'absent': -0.845}",synonym_antonym
350,hit,0,0.275,{'inferior': -0.644},antonym
351,nudity,0,0.274,"{'hard': -0.5, 'old': -0.252, 'innocence': -0.96, 'cover': -0.431, 'no': -0.644}",synonym_antonym
352,areas,0,0.272,"{'foreign': -0.318, 'innocence': -0.96, 'existence': -0.212, 'birth': -0.177, 'stay': -0.999, 'bore': -0.785, 'hire': -0.155, 'left': -0.435, 'empty': -0.278, 'little': -0.289}",synonym_antonym
353,moving,1,0.272,"{'rough': -0.359, 'dislike': -0.877}",synonym_antonym
354,prior,0,0.271,{'subsequent': -0.223},antonym
355,step,0,0.271,{'standard': -0.167},antonym
356,shown,0,0.27,{'ugly': -0.681},antonym
357,criticism,0,0.269,"{'offensive': -1.191, 'curse': -0.19, 'miss': -0.35, 'fail': -0.441, 'pass': -0.499, 'lose': -0.328}",synonym_antonym
358,pulled,0,0.269,"{'give': -0.164, 'walk': -0.203, 'fail': -0.441, 'ride': -0.272, 'bore': -0.785, 'fall': -0.154, 'lose': -0.328, 'gain': -0.286}",synonym_antonym
359,rex,0,0.269,{'queen': -0.209},antonym
360,tells,0,0.269,{'hold': -0.359},antonym
361,awards,0,0.267,{'low': -0.399},antonym
362,schools,0,0.267,"{'low': -0.399, 'take': -0.165, 'woman': -0.286, 'side': -0.243, 'bottom': -0.419, 'down': -0.43}",synonym_antonym
363,welcome,0,0.267,"{'give': -0.164, 'lack': -0.445}",antonym
364,ass,0,0.266,"{'stand': -0.321, 'lie': -0.273, 'head': -0.287, 'side': -0.243, 'miss': -0.35}",synonym_antonym
365,energetic,0,0.266,{'dull': -1.881},antonym
366,impressed,1,0.266,{'unaffected': -0.197},antonym
367,plot,0,0.266,"{'fall': -0.154, 'empty': -0.278}",synonym_antonym
368,sure,0,0.265,{'uncertainty': 0.0},oov_antonym
369,connected,0,0.264,{'off': -0.322},synonym_antonym
370,unexpected,0,0.263,"{'due': -0.244, 'unimpressive': -0.462, 'ugly': -0.681}",synonym_antonym
371,circumstances,0,0.261,{'misfortune': -0.334},antonym
372,audio,0,0.26,{'shallow': -0.605},synonym_antonym
373,car,0,0.26,{'stay': -0.999},antonym
374,consider,0,0.26,"{'add': -0.34, 'inferior': -0.644, 'stand': -0.321, 'fail': -0.441, 'ground': -0.172, 'lose': -0.328, 'same': -0.222, 'dislike': -0.877, 'material': -0.23, 'lack': -0.445}",synonym_antonym
375,perhaps,0,0.26,{'predictability': -0.313},synonym_antonym
376,snap,0,0.26,"{'absent': -0.845, 'proud': -0.205, 'future': -0.315, 'take': -0.165}",synonym_antonym
377,tears,0,0.26,{'wit': -0.187},synonym_antonym
378,principal,0,0.259,{'lack': -0.445},antonym
379,burning,0,0.258,"{'cold': -0.46, 'bore': -0.785, 'hire': -0.155}",antonym
380,engrossing,1,0.258,"{'uninteresting': -0.361, 'unattractive': -0.345}",antonym
381,get,0,0.258,{'lose': -0.328},antonym
382,before,0,0.257,{'down': -0.43},antonym
383,better,0,0.257,{'worse': -1.188},antonym
384,harmless,0,0.257,{'painful': -0.48},antonym
385,ones,0,0.257,"{'inferior': -0.644, 'fail': -0.441}",antonym
386,sport,0,0.257,{'lack': -0.445},synonym_antonym
387,adorable,1,0.255,{'ugly': -0.681},antonym
388,compares,0,0.255,"{'bottom': -0.419, 'worst': -2.915, 'side': -0.243}",synonym_antonym
389,everyday,0,0.254,"{'strange': -0.367, 'functional': -0.159}",synonym_antonym
390,more,0,0.254,{'less': -0.302},antonym
391,strip,0,0.254,"{'start': -0.201, 'miss': -0.35}",synonym_antonym
392,house,0,0.253,{'foreign': -0.318},antonym
393,uplifting,1,0.253,{'fall': -0.154},antonym
394,colorful,0,0.252,"{'inferior': -0.644, 'dull': -1.881, 'unintelligent': -0.471, 'unrealistic': -0.503, 'unattractive': -0.345, 'continue': -0.156, 'cold': -0.46, 'stay': -0.999, 'poor': -1.874, 'young': -0.295, 'low': -0.399, 'shallow': -0.605, 'defeat': -0.193, 'unimpressive': -0.462}",synonym_antonym
395,full,0,0.252,{'empty': -0.278},antonym
396,puts,0,0.252,"{'stand': -0.321, 'hire': -0.155, 'lie': -0.273, 'give': -0.164, 'ride': -0.272, 'left': -0.435, 'union': -0.225, 'standard': -0.167, 'sit': -0.259, 'free': -0.331, 'defense': -0.334, 'unintelligent': -0.471, 'bore': -0.785, 'fall': -0.154, 'defeat': -0.193, 'slow': -0.744, 'continue': -0.156, 'existence': -0.212, 'empty': -0.278, 'heavy': -0.991}",synonym_antonym
397,emotion,0,0.251,{'hate': -1.427},antonym
398,believable,0,0.25,"{'impossible': -0.543, 'dull': -1.881, 'credible': -0.222}",synonym_antonym
399,investigate,0,0.25,"{'bottom': -0.419, 'worst': -2.915, 'side': -0.243, 'lose': -0.328}",synonym_antonym
400,thrills,0,0.25,"{'fall': -0.154, 'courage': -0.266}",antonym
401,extraordinary,1,0.249,"{'unimpressive': -0.462, 'inferior': -0.644}",antonym
402,release,0,0.249,{'hold': -0.359},antonym
403,fog,0,0.248,{'glorious': -0.241},antonym
404,loving,0,0.248,"{'cold': -0.46, 'unaffected': -0.197, 'hard': -0.5, 'act': -0.276, 'practical': -0.166, 'public': -0.325}",synonym_antonym
405,questionable,0,0.248,"{'humorless': -0.308, 'credible': -0.222}",synonym_antonym
406,parents,0,0.247,"{'father': -0.167, 'mother': -0.154}",antonym
407,access,0,0.246,"{'lose': -0.328, 'stay': -0.999}",antonym
408,fact,0,0.246,"{'general': -0.433, 'particular': -0.255}",antonym
409,tortured,1,0.246,{'joyful': 0.0},oov_antonym
410,bike,0,0.245,"{'walk': -0.203, 'fail': -0.441, 'calm': -0.168, 'empty': -0.278, 'bore': -0.785}",synonym_antonym
411,contains,0,0.245,"{'lack': -0.445, 'rough': -0.359}",synonym_antonym
412,follow,0,0.245,"{'ride': -0.272, 'fall': -0.154, 'low': -0.399}",synonym_antonym
413,earlier,0,0.244,{'down': -0.43},synonym_antonym
414,oddity,0,0.244,{'ignore': -0.158},synonym_antonym
415,promote,0,0.244,{'start': -0.201},antonym
416,bloody,0,0.243,"{'free': -0.331, 'experienced': -0.277, 'gain': -0.286}",synonym_antonym
417,excels,0,0.243,"{'continue': -0.156, 'stretch': -0.156, 'gain': -0.286, 'stay': -0.999}",synonym_antonym
418,shining,1,0.243,{'inferior': -0.644},antonym
419,throw,0,0.243,{'defeat': -0.193},antonym
420,16,0,0.242,{'all': -0.429},synonym_antonym
421,justified,0,0.242,{'uneven': -0.404},antonym
422,putting,0,0.242,{'stay': -0.999},antonym
423,saw,0,0.241,{'wet': -0.313},synonym_antonym
424,surface,0,0.241,"{'stand': -0.321, 'hire': -0.155, 'stay': -0.999, 'low': -0.399, 'mild': -0.299, 'fall': -0.154, 'ride': -0.272}",synonym_antonym
425,varied,0,0.241,{'same': -0.222},antonym
426,commendable,0,0.24,{'evil': -0.415},antonym
427,freeze,0,0.24,{'wrong': -0.539},antonym
428,historical,0,0.24,{'unreal': -0.428},antonym
429,properly,0,0.24,"{'wrong': -0.539, 'false': -1.067}",antonym
430,seen,0,0.24,"{'stay': -0.999, 'miss': -0.35, 'worry': -0.183, 'lose': -0.328}",synonym_antonym
431,deep,0,0.239,"{'shallow': -0.605, 'defeat': -0.193}",antonym
432,excite,0,0.239,"{'bore': -0.785, 'stay': -0.999, 'calm': -0.168, 'curse': -0.19}",synonym_antonym
433,praised,0,0.239,"{'add': -0.34, 'attract': -0.292, 'please': -0.395, 'loud': -0.75, 'pass': -0.499, 'fail': -0.441, 'tune': -0.162, 'bottom': -0.419, 'stand': -0.321, 'dislike': -0.877, 'ride': -0.272, 'calm': -0.168, 'poor': -1.874, 'uneven': -0.404, 'fall': -0.154, 'start': -0.201}",synonym_antonym
434,winning,0,0.239,{'ugly': -0.681},antonym
435,character,0,0.238,"{'standard': -0.167, 'side': -0.243}",antonym
436,return,0,0.238,"{'ride': -0.272, 'fall': -0.154, 'take': -0.165, 'communicate': -0.427, 'let': -0.408, 'ending': -0.324}",synonym_antonym
437,struck,0,0.238,{'unaffected': -0.197},antonym
438,hoot,0,0.237,"{'proud': -0.205, 'worth': -0.327}",synonym_antonym
439,absolute,0,0.236,{'thick': -0.335},antonym
440,caused,0,0.236,{'attract': -0.292},antonym
441,fed,0,0.236,{'malnourished': 0.0},oov_antonym
442,fire,0,0.236,{'curse': -0.19},antonym
443,modest,0,0.236,{'proud': -0.205},antonym
444,sand,0,0.236,{'unreal': -0.428},antonym
445,years,0,0.236,"{'young': -0.295, 'old': -0.252, 'immature': -0.17, 'mature': -0.179}",antonym
446,dare,0,0.235,{'fall': -0.154},antonym
447,jackass,0,0.235,{'humorless': -0.308},antonym
448,kicks,0,0.235,"{'ride': -0.272, 'fall': -0.154}",synonym_antonym
449,system,0,0.235,{'defense': -0.334},antonym
450,win,0,0.235,{'lose': -0.328},antonym
451,opening,0,0.234,"{'ending': -0.324, 'death': -0.173, 'unoriginal': -0.414}",synonym_antonym
452,anxious,0,0.233,"{'death': -0.173, 'cold': -0.46}",synonym_antonym
453,direct,0,0.233,{'rough': -0.359},synonym_antonym
454,right,0,0.233,"{'wrong': -0.539, 'give': -0.164, 'lose': -0.328, 'stay': -0.999, 'avoid': -0.855, 'left': -0.435, 'false': -1.067, 'appearance': -0.346, 'material': -0.23, 'liberal': -0.219, 'ride': -0.272, 'take': -0.165, 'low': -0.399, 'mild': -0.299}",synonym_antonym
455,burst,0,0.232,"{'same': -0.222, 'union': -0.225, 'lack': -0.445}",synonym_antonym
456,cute,1,0.232,"{'unattractive': -0.345, 'dull': -1.881}",synonym_antonym
457,minds,0,0.232,"{'ability': -0.814, 'stupidity': -0.277}",synonym_antonym
458,seductive,0,0.232,{'unattractive': -0.345},antonym
459,poverty,0,0.231,{'stay': -0.999},synonym_antonym
460,feet,0,0.23,"{'woman': -0.286, 'stay': -0.999, 'fall': -0.154, 'ride': -0.272, 'head': -0.287, 'inferior': -0.644}",synonym_antonym
461,mesmerizing,1,0.23,"{'unattractive': -0.345, 'ugly': -0.681}",antonym
462,superbly,1,0.23,"{'unimpressive': -0.462, 'inferior': -0.644}",synonym_antonym
463,associated,0,0.229,"{'fail': -0.441, 'pass': -0.499, 'same': -0.222}",synonym_antonym
464,attempt,0,0.229,{'worst': -2.915},antonym
465,half,0,0.229,{'whole': -0.155},synonym_antonym
466,million,0,0.229,{'all': -0.429},synonym_antonym
467,40,0,0.228,{'all': -0.429},synonym_antonym
468,attitudes,0,0.228,"{'offensive': -1.191, 'careless': -0.166, 'inferior': -0.644, 'lie': -0.273, 'sit': -0.259, 'stupidity': -0.277, 'unintelligent': -0.471, 'left': -0.435, 'ability': -0.814, 'fall': -0.154, 'ending': -0.324}",synonym_antonym
469,crisis,0,0.228,"{'continue': -0.156, 'failure': -0.707, 'ending': -0.324, 'appearance': -0.346}",synonym_antonym
470,happens,0,0.228,"{'stretch': -0.156, 'gain': -0.286, 'stay': -0.999, 'ride': -0.272, 'fall': -0.154, 'inferior': -0.644, 'standard': -0.167, 'death': -0.173, 'walk': -0.203, 'tune': -0.162}",synonym_antonym
471,informed,0,0.227,"{'naive': -0.184, 'public': -0.325}",antonym
472,ingenious,1,0.227,{'unattractive': -0.345},antonym
473,stars,0,0.227,"{'inferior': -0.644, 'fail': -0.441, 'stupidity': -0.277}",antonym
474,status,0,0.227,"{'birth': -0.177, 'innocence': -0.96, 'left': -0.435, 'war': -0.201, 'mature': -0.179, 'immature': -0.17, 'inferior': -0.644, 'lose': -0.328, 'worst': -2.915, 'low': -0.399, 'difference': -0.247}",synonym_antonym
475,control,0,0.226,"{'fail': -0.441, 'studio': -0.411, 'left': -0.435, 'stand': -0.321, 'stupidity': -0.277, 'stay': -0.999, 'ignore': -0.158, 'inferior': -0.644, 'wet': -0.313, 'tune': -0.162}",synonym_antonym
476,drug,0,0.226,"{'inferior': -0.644, 'bottom': -0.419, 'side': -0.243, 'defense': -0.334, 'stay': -0.999, 'loser': -0.469, 'general': -0.433}",synonym_antonym
477,force,0,0.226,{'ride': -0.272},antonym
478,increase,0,0.226,{'narrow': -0.286},antonym
479,king,0,0.226,{'queen': -0.209},antonym
480,reward,0,0.226,{'take': -0.165},synonym_antonym
481,star,0,0.226,"{'inferior': -0.644, 'fail': -0.441, 'stupidity': -0.277}",antonym
482,comedians,0,0.225,{'humorless': -0.308},antonym
483,disagree,0,0.225,"{'fall': -0.154, 'stay': -0.999}",synonym_antonym
484,society,0,0.225,"{'ability': -0.814, 'living': -0.962, 'fall': -0.154, 'ending': -0.324}",synonym_antonym
485,leave,0,0.224,"{'stay': -0.999, 'existence': -0.212, 'fail': -0.441, 'lose': -0.328, 'miss': -0.35, 'pass': -0.499, 'hard': -0.5, 'continue': -0.156, 'make': -0.159, 'head': -0.287}",synonym_antonym
486,tasteful,1,0.224,"{'worry': -0.183, 'naive': -0.184, 'awkward': -0.252, 'functional': -0.159}",synonym_antonym
487,carried,0,0.223,"{'walk': -0.203, 'ride': -0.272, 'fall': -0.154, 'bore': -0.785, 'empty': -0.278, 'lose': -0.328, 'stay': -0.999, 'lack': -0.445, 'hire': -0.155, 'miss': -0.35}",synonym_antonym
488,insults,0,0.223,"{'bore': -0.785, 'fall': -0.154, 'curse': -0.19, 'continue': -0.156}",synonym_antonym
489,thinking,0,0.223,{'ready': -0.227},antonym
490,died,0,0.221,{'continue': -0.156},antonym
491,noticeable,0,0.221,{'obvious': -0.309},antonym
492,range,0,0.22,"{'defeat': -0.193, 'lose': -0.328}",antonym
493,soul,0,0.22,"{'stay': -0.999, 'strange': -0.367}",synonym_antonym
494,spend,0,0.22,"{'night': -0.394, 'stretch': -0.156, 'gain': -0.286}",synonym_antonym
495,understand,0,0.22,"{'stay': -0.999, 'lose': -0.328, 'miss': -0.35, 'hate': -1.427, 'significant': -0.198}",synonym_antonym
496,votes,0,0.22,{'inferior': -0.644},synonym_antonym
497,amounts,0,0.219,"{'stretch': -0.156, 'weak': -0.894, 'dislike': -0.877, 'standard': -0.167, 'narrow': -0.286, 'fall': -0.154, 'fail': -0.441}",synonym_antonym
498,creep,0,0.219,{'fall': -0.154},antonym
499,exceeded,0,0.219,{'continue': -0.156},antonym
500,filmed,0,0.219,{'live': -0.548},antonym
501,haunting,0,0.219,{'forgettable': -1.078},antonym
502,taking,0,0.219,{'ugly': -0.681},antonym
503,tear,0,0.218,{'stay': -0.999},antonym
504,timid,0,0.218,{'forward': -0.403},antonym
505,being,0,0.217,{'nonexistent': -0.598},antonym
506,dropped,0,0.217,{'accept': -0.365},antonym
507,score,0,0.217,{'fail': -0.441},antonym
508,separate,0,0.217,"{'same': -0.222, 'union': -0.225}",antonym
509,eleven,0,0.216,{'all': -0.429},synonym_antonym
510,insist,0,0.216,"{'worry': -0.183, 'lack': -0.445}",synonym_antonym
511,body,0,0.215,"{'thick': -0.335, 'woman': -0.286, 'same': -0.222, 'fail': -0.441}",synonym_antonym
512,embarks,0,0.215,{'stay': -0.999},antonym
513,perception,0,0.215,"{'ground': -0.172, 'dislike': -0.877}",antonym
514,sent,0,0.215,{'unfortunate': -0.386},antonym
515,shines,1,0.215,{'fall': -0.154},antonym
516,babes,0,0.214,{'old': -0.252},antonym
517,cartoons,0,0.214,{'give': -0.164},antonym
518,cross,0,0.214,"{'stretch': -0.156, 'gain': -0.286, 'free': -0.331, 'ride': -0.272, 'stay': -0.999}",synonym_antonym
519,drive,0,0.214,{'attract': -0.292},synonym_antonym
520,expectations,0,0.214,{'impossible': -0.543},antonym
521,riot,0,0.214,"{'loud': -0.75, 'ride': -0.272}",synonym_antonym
522,unlike,0,0.214,{'like': -0.466},antonym
523,lasted,0,0.213,{'future': -0.315},antonym
524,march,0,0.213,{'ride': -0.272},antonym
525,new,0,0.213,"{'old': -0.252, 'stale': -0.503}",antonym
526,around,0,0.212,"{'no': -0.644, 'all': -0.429, 'little': -0.289}",synonym_antonym
527,extent,0,0.212,{'shallow': -0.605},antonym
528,gentle,0,0.212,{'hard': -0.5},synonym_antonym
529,pans,0,0.212,{'ride': -0.272},antonym
530,paramount,0,0.212,{'inferior': -0.644},antonym
531,twists,0,0.212,{'fall': -0.154},antonym
532,action,0,0.211,"{'ride': -0.272, 'avoid': -0.855, 'defense': -0.334, 'fail': -0.441, 'death': -0.173, 'tune': -0.162, 'start': -0.201, 'studio': -0.411, 'appearance': -0.346, 'lose': -0.328, 'ugly': -0.681, 'unattractive': -0.345, 'birth': -0.177, 'give': -0.164}",synonym_antonym
533,bitter,0,0.211,{'unresentful': 0.0},oov_antonym
534,creativity,1,0.211,"{'stupidity': -0.277, 'ending': -0.324, 'unoriginal': -0.414, 'incompetence': -0.19, 'able': -0.308, 'unintelligent': -0.471, 'plain': -0.302, 'dislike': -0.877}",synonym_antonym
535,overacted,0,0.211,"{'ride': -0.272, 'avoid': -0.855, 'start': -0.201}",synonym_antonym
536,paper,0,0.211,"{'material': -0.23, 'ability': -0.814}",synonym_antonym
537,change,0,0.21,"{'death': -0.173, 'birth': -0.177}",antonym
538,dramatic,0,0.21,{'tragedy': -0.197},antonym
539,enhance,0,0.21,"{'bore': -0.785, 'fall': -0.154}",synonym_antonym
540,jaws,0,0.21,"{'fall': -0.154, 'take': -0.165}",synonym_antonym
541,recognize,0,0.21,"{'ignore': -0.158, 'take': -0.165}",antonym
542,brought,0,0.209,{'walk': -0.203},antonym
543,disgusting,1,0.209,{'free': -0.331},antonym
544,guessing,0,0.209,{'continue': -0.156},synonym_antonym
545,upbeat,0,0.209,{'failure': -0.707},antonym
546,essential,0,0.208,"{'worst': -2.915, 'worse': -1.188, 'foreign': -0.318, 'unoriginal': -0.414, 'nonexistent': -0.598, 'unrealistic': -0.503, 'worthless': -0.359}",synonym_antonym
547,focus,0,0.208,"{'low': -0.399, 'bore': -0.785}",antonym
548,homage,0,0.208,{'inferior': -0.644},synonym_antonym
549,hunt,0,0.208,{'fail': -0.441},antonym
550,insanity,0,0.208,"{'reason': -0.502, 'calm': -0.168, 'defeat': -0.193, 'lose': -0.328}",synonym_antonym
551,intentionally,0,0.208,{'unintentionally': -0.794},antonym
552,jumps,0,0.207,"{'free': -0.331, 'stay': -0.999, 'communicate': -0.427, 'let': -0.408, 'ride': -0.272, 'fall': -0.154, 'accept': -0.365}",synonym_antonym
553,survived,0,0.207,"{'future': -0.315, 'ride': -0.272, 'fall': -0.154, 'lose': -0.328, 'take': -0.165}",synonym_antonym
554,thumbs,0,0.207,{'walk': -0.203},synonym_antonym
555,decided,0,0.206,{'same': -0.222},synonym_antonym
556,eighties,0,0.206,"{'young': -0.295, 'old': -0.252, 'immature': -0.17}",antonym
557,ghost,0,0.206,{'stay': -0.999},antonym
558,handle,0,0.206,"{'fail': -0.441, 'studio': -0.411, 'stupidity': -0.277, 'stay': -0.999, 'miss': -0.35, 'fall': -0.154, 'ending': -0.324, 'take': -0.165}",synonym_antonym
559,have,0,0.206,{'lose': -0.328},antonym
560,members,0,0.206,"{'walk': -0.203, 'ride': -0.272}",antonym
561,motorcycle,0,0.206,{'walk': -0.203},synonym_antonym
562,trapped,0,0.206,"{'free': -0.331, 'independent': -0.15}",antonym
563,asset,0,0.205,"{'originality': -0.825, 'difference': -0.247, 'ability': -0.814, 'bad': -1.959, 'worth': -0.327, 'weakness': -0.161, 'weak': -0.894, 'lose': -0.328, 'admit': -0.356}",synonym_antonym
564,bring,0,0.205,{'walk': -0.203},antonym
565,hope,0,0.205,"{'feed': -0.236, 'dislike': -0.877}",synonym_antonym
566,outdoor,0,0.204,{'internal': -0.169},antonym
567,prime,0,0.204,{'unoriginal': -0.414},synonym_antonym
568,quick,0,0.204,{'slow': -0.744},antonym
569,sons,0,0.204,{'old': -0.252},synonym_antonym
570,many,0,0.203,"{'few': -0.331, 'no': -0.644, 'all': -0.429, 'less': -0.302}",antonym
571,noticed,0,0.203,{'unseen': -0.155},synonym_antonym
572,typical,0,0.203,"{'false': -1.067, 'wrong': -0.539, 'unreal': -0.428}",synonym_antonym
573,violent,0,0.203,"{'calm': -0.168, 'tame': -0.419, 'cold': -0.46, 'supported': -0.318, 'little': -0.289}",synonym_antonym
574,asks,0,0.202,{'slow': -0.744},synonym_antonym
575,babble,0,0.202,{'continue': -0.156},antonym
576,cutting,0,0.202,{'bad': -1.959},antonym
577,speaks,0,0.202,"{'take': -0.165, 'absent': -0.845, 'bottom': -0.419, 'future': -0.315, 'ride': -0.272, 'continue': -0.156, 'lack': -0.445, 'merit': -0.266, 'lose': -0.328, 'hold': -0.359, 'slow': -0.744, 'stay': -0.999, 'proud': -0.205, 'plain': -0.302, 'left': -0.435}",synonym_antonym
578,adventures,0,0.201,{'worst': -2.915},antonym
579,precise,0,0.201,{'general': -0.433},antonym
580,daughters,0,0.2,"{'defeat': -0.193, 'lose': -0.328, 'husband': -0.238}",synonym_antonym
581,matters,0,0.2,"{'most': -0.418, 'dislike': -0.877, 'functional': -0.159}",synonym_antonym
582,unintentional,0,0.2,"{'motivated': -0.171, 'general': -0.433}",synonym_antonym
583,25,0,0.199,{'all': -0.429},synonym_antonym
584,beginning,0,0.199,{'ending': -0.324},antonym
585,bud,0,0.199,"{'ending': -0.324, 'death': -0.173}",antonym
586,exquisitely,0,0.199,{'rough': -0.359},antonym
587,heartstrings,0,0.199,"{'hate': -1.427, 'dislike': -0.877}",antonym
588,mafia,0,0.199,{'empty': -0.278},antonym
589,toys,0,0.199,{'bottom': -0.419},antonym
590,villains,0,0.199,{'functional': -0.159},antonym
591,ambitions,0,0.198,{'attract': -0.292},antonym
592,commentary,0,0.198,{'ignore': -0.158},antonym
593,found,0,0.198,{'avoid': -0.855},synonym_antonym
594,imaginative,1,0.198,{'unoriginal': -0.414},antonym
595,puke,0,0.198,"{'failure': -0.707, 'ride': -0.272, 'miss': -0.35}",synonym_antonym
596,senses,0,0.198,"{'ride': -0.272, 'worth': -0.327}",synonym_antonym
597,clothing,0,0.197,"{'lack': -0.445, 'free': -0.331, 'empty': -0.278, 'dull': -1.881, 'take': -0.165, 'defense': -0.334, 'death': -0.173, 'birth': -0.177}",synonym_antonym
598,coincidence,0,0.197,"{'failure': -0.707, 'ending': -0.324, 'appearance': -0.346, 'misfortune': -0.334}",synonym_antonym
599,distract,0,0.197,"{'please': -0.395, 'calm': -0.168}",synonym_antonym
600,dry,0,0.197,{'wet': -0.313},antonym
601,nation,0,0.197,{'union': -0.225},antonym
602,evoke,0,0.196,"{'bore': -0.785, 'calm': -0.168}",antonym
603,inaccurate,0,0.196,{'narrow': -0.286},synonym_antonym
604,selling,0,0.196,{'commercial': -0.386},antonym
605,abuse,0,0.195,"{'ride': -0.272, 'standard': -0.167}",synonym_antonym
606,constantly,0,0.195,{'never': 0.0},oov_antonym
607,creepiness,0,0.195,"{'fear': -0.321, 'dislike': -0.877, 'pain': -0.574, 'pride': -0.162, 'miss': -0.35}",synonym_antonym
608,toy,0,0.195,{'bottom': -0.419},antonym
609,middle,0,0.194,{'empty': -0.278},synonym_antonym
610,waited,0,0.194,{'continue': -0.156},antonym
611,capital,0,0.193,"{'loser': -0.469, 'little': -0.289}",antonym
612,promises,0,0.193,{'lack': -0.445},antonym
613,worthwhile,1,0.193,"{'evil': -0.415, 'worthless': -0.359}",synonym_antonym
614,can,0,0.192,"{'free': -0.331, 'waste': -1.35}",synonym_antonym
615,country,0,0.192,"{'mature': -0.179, 'immature': -0.17, 'union': -0.225}",synonym_antonym
616,sound,0,0.192,"{'lose': -0.328, 'continue': -0.156}",synonym_antonym
617,50s,0,0.191,"{'ignore': -0.158, 'all': -0.429}",synonym_antonym
618,changing,0,0.191,{'dull': -1.881},synonym_antonym
619,competent,0,0.191,{'incompetent': -0.316},antonym
620,nipple,0,0.191,{'father': -0.167},antonym
621,older,0,0.191,"{'young': -0.295, 'immature': -0.17, 'future': -0.315}",antonym
622,plots,0,0.191,"{'fall': -0.154, 'empty': -0.278}",synonym_antonym
623,put,0,0.191,"{'stand': -0.321, 'hire': -0.155, 'lie': -0.273, 'give': -0.164, 'ride': -0.272, 'left': -0.435, 'union': -0.225, 'standard': -0.167, 'sit': -0.259, 'free': -0.331, 'defense': -0.334, 'unintelligent': -0.471, 'bore': -0.785, 'fall': -0.154, 'defeat': -0.193, 'slow': -0.744, 'continue': -0.156, 'existence': -0.212, 'empty': -0.278, 'heavy': -0.991}",synonym_antonym
624,revive,0,0.191,"{'bore': -0.785, 'curse': -0.19}",antonym
625,ties,0,0.191,"{'woman': -0.286, 'stupidity': -0.277, 'add': -0.34, 'dull': -1.881}",synonym_antonym
626,voted,0,0.191,{'inferior': -0.644},synonym_antonym
627,endings,0,0.19,"{'hire': -0.155, 'add': -0.34}",antonym
