,term,causal,coef,antonyms_opposite_coef,antonyms,antonym_source
386,happen,0,-0.171,{'appear': -0.028},"{'begin': 0.751, 'survive': 0.418, 'opening': 0.418, 'appreciate': 0.192, 'gain': 0.108, 'stop': 0.613, 'stay': 0.399, 'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'fast': 0.227, 'interesting': 0.543, 'smart': 0.537, 'quickly': 0.154, 'relax': 0.58, 'heat': 0.641, 'end': 0.821, 'death': 0.516, 'rush': 1.001}",synonym_antonym
387,happened,0,-0.075,{'appear': -0.028},"{'begin': 0.751, 'survive': 0.418, 'opening': 0.418, 'appreciate': 0.192, 'gain': 0.108, 'stop': 0.613, 'stay': 0.399, 'ride': 0.982, 'advance': 0.454, 'fall': 0.319, 'follow': 0.39, 'fast': 0.227, 'interesting': 0.543, 'smart': 0.537, 'quickly': 0.154, 'relax': 0.58, 'heat': 0.641, 'end': 0.821, 'death': 0.516, 'rush': 1.001}",synonym_antonym
388,bread,0,-0.561,"{'rough': -0.822, 'serious': -0.019, 'juvenile': -1.37}","{'smooth': 0.862, 'being': 0.407, 'take': 0.241, 'stay': 0.399, 'fat': 0.028}",synonym_antonym
389,creative,1,0.068,"{'real': -0.155, 'sound': -0.266}","{'natural': -0.072, 'real': -0.211, 'plain': -0.167, 'sound': -0.208}",synonym_antonym
390,develop,0,-0.763,{},{'stay': 0.399},synonym_antonym
391,mixed,0,0.041,{'type': -0.246},{'same': -0.751},antonym
392,pre,0,-0.749,{},{'romanticist': 0.0},oov_antonym
393,mountain,0,0.564,"{'sit': -0.369, 'follow': -0.047}",{'simple': -0.104},synonym_antonym
394,brothers,0,-0.064,{},{'sister': 0.243},antonym
395,comes,0,0.243,{'leave': -0.173},{'leave': -0.562},antonym
396,kept,0,0.697,{},{'broken': -0.032},antonym
397,rick,0,0.477,{'better': -0.308},{'better': -0.291},antonym
398,woman,0,-0.213,"{'man': -0.292, 'juvenile': -1.37}",{'husband': 0.406},antonym
399,compelling,1,0.866,{},{'powerless': 0.0},oov_antonym
400,continued,0,0.362,{'short': -0.125},{'short': -0.226},antonym
401,meaning,0,-0.332,"{'back': -0.275, 'left': -0.899, 'finish': -1.526, 'dull': -0.796, 'strange': -0.789, 'evil': -0.093, 'stupidity': -1.093}","{'perfect': 1.168, 'light': 0.337, 'right': 0.219, 'front': 0.219, 'back': 0.204, 'gain': 0.108, 'stay': 0.399}",synonym_antonym
402,captivated,1,0.427,{},{'unloving': 0.0},oov_antonym
403,incredible,1,0.843,"{'common': -0.383, 'likely': -0.239, 'low': -0.542, 'short': -0.125}","{'common': -0.212, 'little': -0.175, 'small': -0.721, 'low': -0.214, 'short': -0.226}",synonym_antonym
404,gem,1,0.548,{'black': -0.144},"{'finish': -0.786, 'ending': -0.219, 'forget': -1.009}",synonym_antonym
405,unusual,1,0.606,{'common': -0.383},{'common': -0.212},antonym
406,daily,0,0.547,{},{'unfriendly': 0.0},oov_antonym
407,developing,0,-0.338,{},{'mature': 0.17},synonym_antonym
408,plug,0,0.547,{'show': -0.12},"{'remember': -0.03, 'continue': -0.105, 'free': -1.085, 'open': -0.062, 'activity': -0.375, 'pull': -0.049, 'generous': -0.599, 'beginning': -0.085}",synonym_antonym
409,order,0,0.377,"{'beginning': -0.281, 'middle': -0.406, 'hold': -1.188, 'pack': -0.013}","{'asleep': -0.604, 'beginning': -0.085, 'middle': -0.304, 'background': -0.625, 'hold': -0.39, 'pack': -0.013}",synonym_antonym
410,outstanding,1,0.237,"{'worst': -2.535, 'ugly': -1.081}",{'little': -0.175},antonym
411,flow,0,-0.117,"{'follow': -0.047, 'dry': -0.251, 'rough': -0.822, 'head': -0.022, 'poor': -1.846, 'hard': -0.485, 'back': -0.275, 'unnecessary': -0.196, 'better': -0.308}",{'advance': 0.454},antonym
412,ghost,0,-0.249,{'real': -0.155},{'stay': 0.399},antonym
413,kindles,0,0.545,{'better': -0.308},{'better': -0.291},antonym
414,die,0,-0.366,"{'follow': -0.047, 'pass': -0.311, 'better': -0.308, 'lack': -0.779}",{'survive': 0.418},antonym
415,encourage,0,0.542,"{'near': -1.079, 'agree': -0.475, 'appear': -0.028}",{'appear': -0.028},synonym_antonym
416,laughed,0,0.668,{},{'cry': 0.0},oov_antonym
417,take,0,0.241,{'follow': -0.047},"{'go': -0.151, 'avoid': -0.014}",synonym_antonym
418,team,0,0.559,{'beginning': -0.281},{'beginning': -0.085},antonym
419,colorful,1,-0.066,"{'dull': -0.796, 'unrealistic': -1.217, 'constant': -0.387, 'cold': -0.292, 'poor': -1.846, 'low': -0.542, 'shallow': -1.718}","{'unknown': 0.464, 'solid': 1.16, 'cold': 0.097, 'stay': 0.399}",synonym_antonym
420,right,0,0.219,{'better': -0.308},{'better': -0.291},antonym
421,cheating,1,0.387,{'free': -1.484},{'free': -1.085},antonym
422,diamond,0,0.537,"{'dry': -0.251, 'black': -0.144}","{'dry': -0.306, 'young': -0.595}",synonym_antonym
423,next,0,0.575,"{'beginning': -0.281, 'middle': -0.406}","{'beginning': -0.085, 'middle': -0.304}",antonym
424,TRUE,0,0.536,"{'unrealistic': -1.217, 'better': -0.308, 'hate': -0.209, 'potential': -1.886}",{'false': -0.174},antonym
425,will,0,0.547,{},{'borrow': 0.0},oov_antonym
426,certainly,0,0.728,{},{'uncertainty': 0.0},oov_antonym
427,reality,0,0.064,{'potential': -1.886},{'potential': -1.806},antonym
428,confident,0,0.527,"{'negative': -0.25, 'certain': -0.33}",{'negative': -0.164},synonym_antonym
429,every,0,0.477,{'no': -1.088},{'no': -1.045},antonym
430,unique,1,0.652,"{'worst': -2.535, 'common': -0.383}","{'worst': -1.792, 'common': -0.212}",synonym_antonym
431,child,0,0.279,"{'adult': -0.236, 'serious': -0.019}","{'adult': -0.674, 'serious': -0.024}",antonym
432,heard,0,-0.374,{},{'undetected': 0.0},oov_antonym
433,continuation,0,-0.293,"{'conclusion': -0.161, 'short': -0.125}","{'long': 0.401, 'take': 0.241, 'strong': 1.115}",synonym_antonym
434,fourth,0,0.584,{'single': -0.054},{'single': -0.469},antonym
435,alien,0,-0.731,{},{'native': 0.626},synonym_antonym
436,can,0,0.264,"{'free': -1.484, 'waste': -2.916}","{'free': -1.085, 'break': -0.172, 'waste': -2.789, 'far': -0.333}",synonym_antonym
437,kick,0,0.518,"{'follow': -0.047, 'rush': -1.098}",{'go': -0.151},synonym_antonym
438,swearing,0,0.518,"{'female': -0.595, 'incomplete': -1.447}","{'female': -1.742, 'admit': -0.364, 'incomplete': -1.489}",synonym_antonym
439,talented,1,0.525,{},{'untalented': 0.0},oov_antonym
440,adventures,0,1.105,{'worst': -2.535},{'worst': -1.792},antonym
441,doctor,0,-0.124,"{'free': -1.484, 'incomplete': -1.447, 'juvenile': -1.37, 'female': -0.595, 'black': -0.144, 'someone': -0.858, 'soul': -0.711}","{'black': 0.023, 'person': 0.223, 'soul': 0.21}",synonym_antonym
442,lesson,0,0.061,"{'buy': -0.421, 'sell': -0.957, 'resolution': -0.43}","{'buy': -0.115, 'resolution': -0.317}",synonym_antonym
443,properly,0,0.516,"{'better': -0.308, 'general': -0.592}",{'false': -0.174},antonym
444,deserves,1,0.487,{'agree': -0.475},{'change': 0.0},oov_antonym
445,fan,0,0.156,"{'someone': -0.858, 'get': -0.218, 'leading': -0.793, 'rough': -0.822, 'man': -0.292}",{'woman': -0.213},antonym
446,lived,0,-0.027,"{'beginning': -0.281, 'middle': -0.406}",{'running': 0.527},antonym
447,creating,0,0.512,"{'beginning': -0.281, 'middle': -0.406, 'slow': -0.355, 'level': -0.413, 'standard': -1.262, 'follow': -0.047, 'lack': -0.779, 'focus': -0.292, 'wet': -0.239, 'finish': -1.526, 'head': -0.022, 'lost': -1.438, 'mother': -1.257, 'pass': -0.311, 'better': -0.308, 'rush': -1.098, 'type': -0.246, 'sell': -0.957, 'positive': -1.332, 'rough': -0.822, 'organized': -0.161, 'leave': -0.173, 'push': -0.752}","{'go': -0.151, 'beginning': -0.085, 'middle': -0.304, 'slow': -1.023, 'level': -0.225, 'standard': -0.799, 'lack': -0.328, 'focus': -0.292, 'wet': -0.239, 'break': -0.172, 'finish': -0.786, 'lost': -0.782, 'forget': -1.009, 'pass': -0.948, 'better': -0.291, 'background': -0.625, 'type': -0.391, 'positive': -0.419, 'rough': -0.247, 'father': -0.872, 'leave': -0.562, 'push': -0.752, 'pull': -0.049, 'die': -0.366}",synonym_antonym
448,understanding,0,0.011,"{'better': -0.308, 'strength': -0.538, 'let': -1.028}","{'better': -0.291, 'strength': -0.538, 'stand': -0.849, 'let': -0.665}",synonym_antonym
449,volume,0,0.284,"{'standard': -1.262, 'soft': -0.189}","{'respect': -0.598, 'standard': -0.799, 'soft': -0.189}",synonym_antonym
450,adventure,0,0.256,{'worst': -2.535},{'worst': -1.792},antonym
451,wishing,0,0.323,{'short': -0.125},{'short': -0.226},synonym_antonym
452,board,0,0.505,"{'juvenile': -1.37, 'rush': -1.098}",{'juvenile': -1.104},antonym
453,reviewers,0,0.505,"{'man': -0.292, 'juvenile': -1.37}","{'man': -0.3, 'juvenile': -1.104, 'amateur': -0.057, 'forget': -1.009}",synonym_antonym
454,around,0,0.662,"{'no': -1.088, 'all': -0.023}","{'no': -1.045, 'all': -0.003, 'little': -0.175, 'go': -0.151}",synonym_antonym
455,lee,0,0.228,{},{'windward': 0.0},oov_antonym
456,picture,0,-0.017,"{'moving': -0.101, 'sound': -0.266}",{'moving': 0.39},antonym
457,reminded,0,-0.507,{'give': -0.422},"{'welcome': 0.018, 'issue': 0.831, 'lose': 0.122}",synonym_antonym
458,blend,0,0.496,{'free': -1.484},{'free': -1.085},synonym_antonym
459,speed,0,0.145,{'slow': -0.355},"{'slow': -1.023, 'come': -0.091}",synonym_antonym
460,treat,0,0.375,"{'middle': -0.406, 'much': -0.348, 'more': -0.291, 'standard': -1.262, 'man': -0.292, 'original': -0.231, 'activity': -0.375, 'accurate': -0.789, 'focus': -0.292, 'wet': -0.239, 'make': -0.384}","{'pull': -0.049, 'middle': -0.304, 'notice': -0.597, 'much': -0.473, 'more': -0.033, 'standard': -0.799, 'man': -0.3, 'original': -0.232, 'activity': -0.375, 'focus': -0.292, 'wet': -0.239, 'make': -0.319}",synonym_antonym
461,irish,0,0.494,{'leave': -0.173},{'leave': -0.562},antonym
462,overall,0,0.798,{},{'net': 0.0},oov_antonym
463,adds,0,0.554,"{'juvenile': -1.37, 'female': -0.595, 'slow': -0.355, 'lack': -0.779}","{'natural': -0.072, 'break': -0.172, 'juvenile': -1.104, 'female': -1.742, 'slow': -1.023, 'lack': -0.328, 'pull': -0.049}",synonym_antonym
464,blessed,1,0.493,"{'unhappy': -0.848, 'lost': -1.438}","{'unhappy': -0.848, 'lost': -0.782}",synonym_antonym
465,showed,0,0.723,{'ugly': -1.081},{'ugly': -1.081},antonym
466,experience,0,0.017,{'appear': -0.028},{'appear': -0.028},antonym
467,glimpse,0,0.489,{'back': -0.275},{'respect': -0.598},synonym_antonym
468,problems,0,0.553,"{'juvenile': -1.37, 'follow': -0.047}",{'juvenile': -1.104},antonym
469,stars,0,0.315,{'stupidity': -1.093},{'stupidity': -1.093},antonym
470,waited,0,-1.001,"{'activity': -0.375, 'show': -0.12, 'agree': -0.475}","{'show': 0.286, 'agree': 0.305}",synonym_antonym
471,drawn,0,-0.52,{'original': -0.231},{'new': 0.361},antonym
472,shocked,0,0.485,{},{'unafraid': 0.0},oov_antonym
473,decided,0,-0.172,{},{'hot': 1.636},synonym_antonym
474,intimate,0,0.484,"{'past': -0.031, 'future': -0.074}",{'distant': 0.0},oov_antonym
475,trials,0,0.482,{'worst': -2.535},{'worst': -1.792},antonym
476,honest,1,0.742,{},{'false': -0.174},antonym
477,intriguing,1,1.385,{},{'unprovocative': 0.0},oov_antonym
478,emotion,0,0.068,{'hate': -0.209},{'hate': -0.71},antonym
479,exotic,0,0.476,{'common': -0.383},"{'familiar': -0.519, 'common': -0.212}",synonym_antonym
480,touching,1,0.396,{},{'unmoving': 0.0},oov_antonym
481,warming,1,0.588,{'cold': -0.292},{'cool': 0.0},oov_antonym
482,knows,0,0.485,{},{'forget': -1.009},synonym_antonym
483,avoid,0,-0.014,"{'show': -0.12, 'appear': -0.028, 'positive': -1.332, 'improvement': -0.478, 'hate': -0.209}",{'truth': 1.129},antonym
484,decent,0,0.322,{'general': -0.592},{'general': -0.117},antonym
485,second,0,-0.303,{'slow': -0.355},{'some': 0.077},synonym_antonym
486,beat,0,0.755,"{'bad': -0.129, 'worst': -2.535, 'beginning': -0.281, 'back': -0.275, 'wife': -0.462, 'hate': -0.209, 'goodness': -0.21, 'lack': -0.779, 'move': -0.051, 'free': -1.484}","{'respect': -0.598, 'bad': -0.784, 'worst': -1.792, 'continue': -0.105, 'beginning': -0.085, 'fill': -0.485, 'pull': -0.049, 'open': -0.062, 'hate': -0.71, 'forget': -1.009, 'goodness': -0.321, 'lack': -0.328, 'free': -1.085}",synonym_antonym
487,own,0,0.25,{},{'impersonal': 0.0},oov_antonym
488,unknown,0,0.464,{'known': -0.201},"{'familiar': -0.519, 'known': -0.409}",antonym
489,2nd,0,0.1,"{'slow': -0.355, 'all': -0.023}","{'slow': -1.023, 'all': -0.003}",synonym_antonym
490,justice,0,0.67,"{'just': -0.491, 'better': -0.308}","{'just': -0.448, 'better': -0.291, 'fair': -0.99}",synonym_antonym
491,bunch,0,0.375,{},{'ride': 0.0},oov_antonym
492,deserved,1,0.46,{'gratuitous': -0.308},{'gratuitous': -0.193},antonym
493,professional,1,0.46,{'man': -0.292},{'man': -0.3},antonym
494,delicious,1,0.861,{'ugly': -1.081},{'ugly': -1.081},synonym_antonym
495,definite,0,0.194,"{'written': -0.483, 'slow': -0.355}","{'slow': -1.023, 'same': -0.751}",synonym_antonym
496,shot,0,-0.913,{'activity': -0.375},"{'miss': 0.409, 'top': 0.086, 'stay': 0.399, 'running': 0.527, 'safety': 0.709}",synonym_antonym
497,ups,0,0.031,{},{'downwardly': 0.0},oov_antonym
498,combined,0,0.452,{},{'uncombined': 0.0},oov_antonym
499,hours,0,0.648,{'clutter': -0.189},{'clutter': -0.189},synonym_antonym
500,situation,0,0.14,"{'thin': -0.687, 'big': -0.463, 'free': -1.484, 'immature': -0.846, 'activity': -0.375, 'loose': -0.344, 'moving': -0.101, 'sound': -0.266}","{'thin': -0.416, 'big': -0.25, 'little': -0.175, 'small': -0.721, 'free': -1.085, 'balance': -0.155, 'immature': -0.475, 'activity': -0.375, 'simple': -0.104, 'sound': -0.208}",synonym_antonym
501,roller,0,0.448,{},{'stay in place': 0.0},oov_antonym
502,absolute,0,-0.098,"{'limited': -0.42, 'dull': -0.796, 'explicit': -0.091}",{'relative': 0.0},oov_antonym
503,pleasant,1,0.233,{'nasty': -0.255},{'nasty': -0.476},antonym
504,prepare,0,0.551,"{'sit': -0.369, 'focus': -0.292, 'wet': -0.239, 'thin': -0.687, 'better': -0.308, 'clutter': -0.189, 'dirty': -0.524, 'dry': -0.251, 'dull': -0.796, 'death': -0.359}","{'focus': -0.292, 'wet': -0.239, 'thin': -0.416, 'better': -0.291, 'clutter': -0.189, 'dirty': -0.056, 'dry': -0.306, 'dull': -1.066, 'fill': -0.485, 'break': -0.172}",synonym_antonym
505,course,0,0.466,{'sell': -0.957},"{'resolution': -0.317, 'forget': -1.009, 'buy': -0.115}",synonym_antonym
506,wolves,0,0.304,"{'sound': -0.266, 'female': -0.595}","{'sound': -0.208, 'male': -0.344, 'female': -1.742}",antonym
507,grabs,0,1.283,"{'free': -1.484, 'activity': -0.375, 'gross': -0.882, 'loose': -0.344, 'beginning': -0.281}",{'open': -0.062},antonym
508,modern,0,-0.25,"{'early': -0.023, 'middle': -0.406}","{'unnecessary': 0.431, 'current': 0.627}",synonym_antonym
509,price,0,-0.468,{'reasonable': -0.014},{'stay': 0.399},synonym_antonym
510,forgiveness,0,0.272,{'kind': -0.584},{'kind': -0.443},antonym
511,ladies,0,0.608,{},{'unavailability': 0.0},oov_antonym
512,100,0,-0.054,{'all': -0.023},{'some': 0.077},synonym_antonym
513,present,0,0.553,"{'past': -0.031, 'future': -0.074}",{'open': -0.062},antonym
514,beginners,0,-0.091,{'girl': -1.146},{'child': 0.279},antonym
515,young,0,-0.595,"{'majority': -0.372, 'tough': -0.252, 'hard': -0.485, 'act': -0.25, 'aged': -0.134, 'adult': -0.236, 'middle': -0.406, 'immature': -0.846, 'big': -0.463}",{'strong': 1.115},antonym
516,returning,0,0.43,{},{'forward': 0.0},oov_antonym
517,captivating,1,-0.405,{'uninteresting': -0.461},{'unattractive': 0.0},oov_antonym
518,husband,0,0.406,{'wife': -0.462},"{'waste': -2.789, 'absolute': -0.098}",synonym_antonym
519,she,0,0.698,{'man': -0.292},{'man': -0.3},antonym
520,red,0,-0.109,{},{'gain': 0.108},synonym_antonym
521,clever,1,1.25,"{'stupid': -2.148, 'slow': -0.355}","{'stupid': -2.048, 'slow': -1.023}",antonym
522,suspense,0,-0.224,{'believe': -0.089},"{'trust': 0.888, 'believe': 0.216}",antonym
523,adam,0,0.418,"{'man': -0.292, 'follow': -0.047}","{'man': -0.3, 'woman': -0.213, 'go': -0.151}",synonym_antonym
524,inspirational,1,0.161,{},{'profane': 0.0},oov_antonym
525,full,0,0.201,"{'thin': -0.687, 'poor': -1.846, 'moved': -0.414, 'incomplete': -1.447, 'low': -0.542}","{'thin': -0.416, 'break': -0.172, 'poor': -1.049, 'innocence': -0.319, 'little': -0.175, 'small': -0.721, 'incomplete': -1.489, 'low': -0.214}",synonym_antonym
526,trip,0,-0.347,{'hard': -0.485},"{'advance': 0.454, 'fall': 0.319, 'ride': 0.982, 'recall': 0.338, 'concise': 0.32}",synonym_antonym
527,life,0,0.044,{'stupidity': -1.093},{'stupidity': -1.093},antonym
528,writes,0,0.436,"{'connect': -0.165, 'dull': -0.796, 'juvenile': -1.37, 'push': -0.752, 'pack': -0.013}","{'connect': -0.406, 'dull': -1.066, 'go': -0.151, 'juvenile': -1.104, 'continue': -0.105, 'background': -0.625, 'push': -0.752, 'pack': -0.013}",synonym_antonym
529,photos,0,-0.61,{'dull': -0.796},{'color': 0.013},antonym
530,some,0,0.077,"{'many': -0.162, 'no': -1.088, 'all': -0.023}","{'many': -0.337, 'no': -1.045, 'all': -0.003}",antonym
531,help,0,-0.179,"{'act': -0.25, 'stupidity': -1.093, 'uncomfortable': -0.477, 'activity': -0.375}",{'miss': 0.409},antonym
532,distracting,1,-0.582,{'organized': -0.161},{'organized': 0.653},antonym
533,edit,0,0.409,"{'focus': -0.292, 'wet': -0.239, 'thin': -0.687, 'better': -0.308, 'clutter': -0.189, 'dirty': -0.524, 'dry': -0.251, 'dull': -0.796}","{'focus': -0.292, 'wet': -0.239, 'thin': -0.416, 'better': -0.291, 'clutter': -0.189, 'dirty': -0.056, 'dry': -0.306, 'dull': -1.066, 'fill': -0.485}",synonym_antonym
534,truth,0,1.129,"{'general': -0.592, 'particular': -0.564, 'specific': -0.712, 'common': -0.383}","{'general': -0.117, 'specific': -0.593, 'common': -0.212}",synonym_antonym
535,encounter,0,-0.431,"{'back': -0.275, 'agree': -0.475}","{'back': 0.204, 'agree': 0.305}",antonym
536,rock,0,-0.079,"{'past': -0.031, 'middle': -0.406}","{'past': 0.244, 'present': 0.553, 'end': 0.821}",synonym_antonym
537,mason,0,0.406,{},{'sister': 0.0},oov_antonym
538,paleo,0,0.022,{},{'ending': -0.219},synonym_antonym
539,day,0,0.464,{'past': -0.031},{'big': -0.25},synonym_antonym
540,mouse,0,0.402,{},{'male': -0.344},antonym
541,glued,0,0.313,{'loose': -0.344},{'unaffixed': 0.0},oov_antonym
542,ice,0,0.401,{'dry': -0.251},"{'dry': -0.306, 'young': -0.595}",antonym
543,results,0,0.4,"{'death': -0.359, 'middle': -0.406}",{'middle': -0.304},antonym
544,facts,0,-0.115,"{'general': -0.592, 'particular': -0.564, 'specific': -0.712, 'common': -0.383}",{'particular': 0.194},antonym
545,stayed,0,0.718,{'move': -0.051},{'move': 0.0},oov_antonym
546,saw,0,0.22,"{'focus': -0.292, 'wet': -0.239}","{'focus': -0.292, 'wet': -0.239}",synonym_antonym
547,suggestions,0,0.138,"{'dull': -0.796, 'particular': -0.564}",{'dull': -1.066},synonym_antonym
548,surprise,0,0.847,{'rush': -1.098},"{'go': -0.151, 'come': -0.091, 'ending': -0.219, 'middle': -0.304, 'open': -0.062, 'low': -0.214, 'high': -0.298}",synonym_antonym
549,coaster,0,0.395,{'someone': -0.858},{'someone': -0.873},antonym
550,suspenseful,0,0.243,{},{'relaxed': 0.0},oov_antonym
551,intrigued,1,-0.268,{'fit': -0.095},{'fit': 0.219},antonym
552,lovers,0,0.053,{},{'unknot': 0.0},oov_antonym
553,simple,0,-0.104,{'difficult': -0.856},{'complex': 0.208},antonym
554,background,0,-0.625,{'figure': -0.066},{'figure': 0.123},antonym
555,eat,0,-0.619,"{'pack': -0.013, 'give': -0.422, 'beginning': -0.281, 'middle': -0.406, 'low': -0.542, 'hold': -1.188, 'sound': -0.266, 'female': -0.595, 'black': -0.144, 'finish': -1.526}","{'lose': 0.122, 'recall': 0.338, 'end': 0.821, 'start': 0.329, 'begin': 0.751, 'side': 0.187, 'stay': 0.399, 'up': 0.166, 'enjoy': 0.391, 'complex': 0.208, 'take': 0.241, 'black': 0.023}",synonym_antonym
556,successful,1,-0.66,"{'poor': -1.846, 'unhappy': -0.848, 'original': -0.231, 'ugly': -1.081}","{'quickly': 0.154, 'survive': 0.418}",synonym_antonym
557,upset,1,-0.182,{},{'good': 1.216},antonym
558,bride,0,0.809,{'wife': -0.462},{'unattached': 0.0},oov_antonym
559,check,0,0.632,{'back': -0.275},"{'respect': -0.598, 'worst': -1.792, 'push': -0.752}",synonym_antonym
560,faith,0,-0.144,{'common': -0.383},{'apophatism': 0.0},oov_antonym
561,hear,0,0.102,"{'rush': -1.098, 'sell': -0.957, 'juvenile': -1.37}","{'open': -0.062, 'juvenile': -1.104}",synonym_antonym
562,wish,0,0.471,{'short': -0.125},{'short': -0.226},synonym_antonym
563,brilliant,1,1.204,"{'worst': -2.535, 'ugly': -1.081, 'low': -0.542}","{'worst': -1.792, 'ugly': -1.081, 'low': -0.214}",synonym_antonym
564,travel,0,0.341,{'follow': -0.047},{'go': -0.151},antonym
565,period,0,0.084,"{'beginning': -0.281, 'middle': -0.406, 'adult': -0.236, 'female': -0.595, 'death': -0.359, 'poor': -1.846, 'hard': -0.485, 'follow': -0.047, 'please': -0.285, 'thin': -0.687, 'incomplete': -1.447, 'low': -0.542, 'immature': -0.846, 'past': -0.031, 'future': -0.074, 'aged': -0.134, 'development': -0.015, 'stupidity': -1.093}","{'beginning': -0.085, 'middle': -0.304, 'male': -0.344, 'adult': -0.674, 'female': -1.742, 'poor': -1.049, 'hard': -0.618, 'minimum': -0.36, 'please': -0.431, 'old': -0.326, 'thin': -0.416, 'break': -0.172, 'incomplete': -1.489, 'low': -0.214, 'simple': -0.104, 'open': -0.062, 'young': -0.595, 'immature': -0.475, 'modern': -0.25, 'aged': -0.134, 'development': -0.471, 'stupidity': -1.093}",synonym_antonym
566,than,0,0.043,"{'back': -0.275, 'appear': -0.028}","{'pull': -0.049, 'appear': -0.028, 'impossible': -0.521}",synonym_antonym
567,captured,0,0.511,{},{'charge': -0.497},synonym_antonym
568,formatting,0,-0.184,{'connect': -0.165},{'stay': 0.399},antonym
569,prove,0,0.384,{'pass': -0.311},{'pass': -0.948},antonym
570,lot,0,-0.122,"{'level': -0.413, 'head': -0.022}","{'close': 1.103, 'stay': 0.399, 'take': 0.241, 'right': 0.219, 'success': 0.008, 'head': 0.744, 'order': 0.377, 'complex': 0.208}",synonym_antonym
571,apply,0,0.104,"{'middle': -0.406, 'lack': -0.779, 'sell': -0.957, 'moving': -0.101, 'dry': -0.251, 'buy': -0.421, 'appear': -0.028}","{'middle': -0.304, 'stand': -0.849, 'lack': -0.328, 'go': -0.151, 'dry': -0.306, 'buy': -0.115, 'appear': -0.028}",synonym_antonym
572,answers,0,0.207,"{'immature': -0.846, 'free': -1.484, 'figure': -0.066, 'hold': -1.188, 'pack': -0.013, 'positive': -1.332, 'give': -0.422}","{'immature': -0.475, 'free': -1.085, 'background': -0.625, 'hold': -0.39, 'pack': -0.013, 'positive': -0.419, 'give': -0.209, 'engage': -0.058}",synonym_antonym
573,best,1,0.525,"{'bad': -0.129, 'worst': -2.535}","{'bad': -0.784, 'worst': -1.792}",antonym
574,new,0,0.361,"{'aged': -0.134, 'cold': -0.292, 'early': -0.023, 'middle': -0.406, 'immature': -0.846, 'falling': -0.232, 'unnecessary': -0.196, 'dirty': -0.524}",{'old': -0.326},antonym
575,quiet,0,0.379,"{'violent': -0.389, 'tense': -0.545, 'excited': -0.538, 'concerned': -0.257}",{'wild': -0.281},antonym
576,granted,0,0.378,{},{'unacknowledged': 0.0},oov_antonym
577,clear,1,0.019,"{'incomplete': -1.447, 'thin': -0.687, 'unrealistic': -1.217, 'dull': -0.796, 'useless': -0.99}","{'same': -0.751, 'incomplete': -1.489, 'thin': -0.416, 'unrealistic': -0.852, 'dull': -1.066, 'useless': -0.636}",synonym_antonym
578,quick,0,0.183,"{'slow': -0.355, 'dead': -0.189}",{'slow': -1.023},antonym
579,reasons,0,0.163,{'beginning': -0.281},"{'ending': -0.219, 'beginning': -0.085}",synonym_antonym
580,read,0,0.328,{'pack': -0.013},"{'charge': -0.497, 'pack': -0.013}",antonym
581,catch,0,0.191,{'rush': -1.098},{'open': -0.062},antonym
582,extra,0,0.342,{'necessary': -0.329},{'necessary': -0.57},antonym
583,purchased,0,-0.145,{'sell': -0.957},{'sell': 0.128},antonym
584,sir,0,0.369,"{'juvenile': -1.37, 'female': -0.595}","{'woman': -0.213, 'juvenile': -1.104, 'female': -1.742}",antonym
585,loss,0,-0.304,{'hold': -1.188},{'engage': 0.0},oov_antonym
586,12,0,0.368,{'all': -0.023},{'all': -0.003},synonym_antonym
587,chase,0,0.246,"{'follow': -0.047, 'rush': -1.098, 'level': -0.413, 'push': -0.752}","{'stand': -0.849, 'level': -0.225, 'push': -0.752}",synonym_antonym
588,ages,0,-0.602,{'immature': -0.846},{'mature': 0.17},antonym
589,fifty,0,-0.218,{'all': -0.023},{'some': 0.077},synonym_antonym
590,your,0,0.198,{},{'unaggressive': 0.0},oov_antonym
591,broken,0,-0.032,{'sound': -0.266},{'perfect': 1.168},antonym
592,men,0,-0.268,{'back': -0.275},{'back': 0.204},antonym
593,surprises,0,0.889,{'rush': -1.098},"{'go': -0.151, 'come': -0.091, 'ending': -0.219, 'middle': -0.304, 'open': -0.062, 'low': -0.214, 'high': -0.298}",synonym_antonym
594,wild,0,-0.281,"{'healthy': -0.103, 'fit': -0.095, 'patient': -0.729, 'organized': -0.161}",{'quiet': 0.379},antonym
595,willing,0,0.362,"{'low': -0.542, 'unhappy': -0.848}","{'sad': -0.054, 'depressing': -0.253, 'low': -0.214, 'unhappy': -0.848}",synonym_antonym
596,length,0,-0.423,{'short': -0.125},{'long': 0.401},antonym
597,lively,1,0.361,"{'dull': -0.796, 'tired': -0.697}","{'dull': -1.066, 'tired': -1.066}",antonym
598,world,0,0.379,"{'juvenile': -1.37, 'female': -0.595}","{'woman': -0.213, 'juvenile': -1.104, 'female': -1.742}",antonym
599,questions,0,0.891,"{'say': -0.056, 'tell': -0.057}","{'say': -0.403, 'tell': -0.091}",synonym_antonym
600,issue,0,0.831,{'focus': -0.292},{'focus': -0.292},antonym
601,learn,0,0.136,"{'left': -0.899, 'sell': -0.957, 'rush': -1.098, 'give': -0.422}","{'left': -0.593, 'give': -0.209}",synonym_antonym
